ID,Area,Feature,Description,PCB,System,Components,Default InScope
Price -Customer Specific Prices,Price ,Customer Specific Prices,B2B solution. Offer specific prices to different customers,B2B,Backoffice,2,N
Price -Scheduled Prices,Price ,Scheduled Prices,manage sales and promotion campaigns by scheduling all planned price changes,Base,Backoffice,2,N
Price -Merchant Custom Prices,Price ,Merchant Custom Prices,"In B2B commerce transactions, prices are typically negotiated in contracts. Therefore, merchants and their clients, who are usually company business units, expect to see their own prices in the shop.",Marketplace,Backoffice,1,N
Price -Vehicle residual value,Price ,Vehicle residual value,Resitual value integration and presenation on checkout pages,,,8,N
Order-Reorder,Order,Reorder,Customers can go to the Order History page in their Customer Account and reorder either the entire order or individual items from it.,Base,Frontend,2,N
Payment-Payment Method,Payment,Payment Method,All orders can be paid with one or multiple payment methods which the customer can select during checkout.,Base,Backoffice,1,N
Payment-Payment Service Provider Integration,Payment,Payment Service Provider Integration,Spryker offers integrations with several payment providers,Custom,Backoffice,1,N
PublicAPI-API: Place Order,PublicAPI,API: Place Order,API: Place Order,Custom,APIGateway,1,N
PublicAPI-API: Order Status,PublicAPI,API: Order Status,API: Order Status,Custom,APIGateway,1,N
PublicAPI-API: Pricing,PublicAPI,API: Pricing,API: Pricing,Custom,APIGateway,1,N
PublicAPI-API: Deep Linking,PublicAPI,API: Deep Linking,API: Deep Linking,Custom,APIGateway,1,N
PublicAPI-API: Part Details,PublicAPI,API: Part Details,API: Part Details,Custom,APIGateway,1,N
PublicAPI-API: Part Search By Application,PublicAPI,API: Part Search By Application,API: Part Search By Application,Custom,APIGateway,1,N
PublicAPI-API: ProConnectExchange,PublicAPI,API: ProConnectExchange,API: ProConnectExchange,Custom,APIGateway,1,N
PublicAPI-API: Advanced Shipping Notification,PublicAPI,API: Advanced Shipping Notification,API: Advanced Shipping Notification,Custom,APIGateway,1,N
PublicAPI-API: Availability,PublicAPI,API: Availability,API: Availability,Custom,APIGateway,1,N
PublicAPI-API management,PublicAPI,API management,"Provide public API to operate several entities, acitivity logging, access control.",Custom,APIGateway,0,N
RFQ-Quotation & Offer Management,RFQ,Quotation & Offer Management,"With the Quotation Process feature, the B2B customers can ask for special prices, and suppliers can get back to them with a compromise pricing suggestion.",B2B,Frontend,4,N
RFQ-Marketplace distributor RFQ,RFQ,Marketplace distributor RFQ,Price quote is requested from platform distributors not platform owner itself. ,Custom,Frontend,4,N
RFQ-Marketplace distributor RFQ for Backoffice,RFQ,Marketplace distributor RFQ for Backoffice,Ability to see activity related to RFQ,Custom,Backoffice,2,N
Search-Full-site Search,Search,Full-site Search,"Search products by their atrributes, categories and CMS pages",Base,Frontend,3,N
Search-Search Preferences,Search,Search Preferences,"Search Preferences; include in Full Text Search/suggestions/completion, Boost",Base,Backoffice,1,N
Search-Faced filters,Search,Faced filters,Different filter types,Base,Frontend,2,N
Search-Search within facet filter,Search,Search within facet filter,Manage faced filters to to narrow down search results,Base,Frontend,1,N
Search-Year make model,Search,Year make model,Year make model search component. Automotive specific.,Custom,Frontend,1,N
Search-Find End Yoke,Search,Find End Yoke,Find End Yoke search component. Automotive specific.,Custom,Frontend,1,N
Search-Application/Fitmnet,Search,Application/Fitmnet,Search by application. Automotive specitic.,Custom,Frontend,1,N
Search-Visual Search,Search,Visual Search,Visual Search,Custom,Frontend,1,N
SEO-SEO for products,SEO,SEO for products,"SEO for products. Metatags, breadcrumbs, headers",Base,Frontend,2,N
SEO-SEO for catalog,SEO,SEO for catalog,"SEO for category pages. Metatags, breadcrumbs, headers",Custom,Frontend,2,N
SEO-Sitemap,SEO,Sitemap,Dedicated documented acting as sitemap,Custom,Backoffice,1,N
"Setup-Store, region, locales creation",Setup,"Store, region, locales creation","Store, region, locales creation",Asset,eCommerce,1,N
"Setup-Setup of local environment, DevOps with Spryker Cloud",Setup,"Setup of local environment, DevOps with Spryker Cloud","Setup of local environment, DevOps with Spryker Cloud",Asset,eCommerce,1,N
Shipment-Shipment Carriers & Methods management,Shipment,Shipment Carriers & Methods management,"Manual management of shipping methods; activeness, price and tax, store relation",Base,Backoffice,2,N
Shipment-Custom availability,Shipment,Custom availability,Business logic which controls availability of delivery method in a form of plugin class,Base,Backoffice,1,N
Shipment-Custom price calculation,Shipment,Custom price calculation,Business logic which controls price calculation of delivery method in a form of plugin class,Base,Backoffice,1,N
Shipment-Custom delivery time calculation,Shipment,Custom delivery time calculation,Business logic which controls delivery time calculation of delivery method in a form of plugin class,Base,Backoffice,1,N
Shipment-Tracking code,Shipment,Tracking code,Save tracking codes per shipment,Custom,Backoffice,2,N
Shipment-Ship To location import,Shipment,Ship To location import,Integration of ship to location to be presented during checkout,,,1,N
Shopping List & Wish List-Shopping List Management,Shopping List & Wish List,Shopping List Management,coordinate orders with the Shopping List feature,Base,Frontend,1,N
Shopping List & Wish List-Permission Management for Shopping Lists,Shopping List & Wish List,Permission Management for Shopping Lists,"Roles and Permissions for Shopping List users. By default, there are two Roles: read-only and full access",Base,Backoffice,1,N
Shopping List & Wish List-Wish List,Shopping List & Wish List,Wish List,"customers track and save items for later purchase through multiple Wish Lists, which are connected to user accounts",Base,Frontend,2,N
Tax-Manage Tax Rates & Sets,Tax,Manage Tax Rates & Sets,The Tax feature lets you define taxes for the items. The feature is represented by two entities: tax rates and tax sets.,Base,Backoffice,2,N
Tax-Avalara Integration,Tax,Avalara Integration,validate both customer and warehouse addresses to improve the rate of accuracy when calculating sales tax during the checkout process,Base,Backoffice,1,N
Data Exchange-Cinovo integrations,Data Exchange,Cinovo integrations,,Custom,Backoffice,0,N
Data Exchange-Case/Tech Support,Data Exchange,Case/Tech Support,Integration with 3rd party Case/Tech Support,Custom,Frontend,6,N
Data Exchange-Documentation Integration,Data Exchange,Documentation Integration,,,Frontend,1,
Customer-ABB Item,Customer,ABB Item,,Custom,Frontend,4,N
Shipment-Shipment,Shipment,Shipment,,Base,Frontend,2,Y
Customer-Company Login,Customer,Company Login,,Base,Frontend,3,N
CMS-Page with form,CMS,Page with form,,Custom,Frontend,2,N
Product-Guided Selling,Product,Guided Selling,Guided selling mechanism,Custom,Frontend,5,N
Customer-Installed Bases,Customer,Installed Bases,Installed Bases,Custom,Frontend,6,N
Customer-Service Agreements,Customer,Service Agreements,,Custom,Frontend,8,N
Product-Marketplace,Product,Marketplace,ABB Marketplace,Custom,Frontend,2,N
Customer-Third Party Delegations,Customer,Third Party Delegations,,Custom,Frontend,2,N
Search-DocumentationSearch,Search,DocumentationSearch,,Custom,Frontend,3,N
CMS-About Us,CMS,About Us,,Base,Frontend,2,Y
CMS-Footer,CMS,Footer,,Custom,Frontend,6,Y
DAM-Resources,DAM,Resources,,Custom,Frontend,6,N
DAM-Applications,DAM,Applications,,Custom,Frontend,2,N
