ID,Area,Feature,Description,PCB,System,InScope,Usage#,Name,Type,Complexity,NewMod,NoOfUnits,WP,Adjustor,Comments,Functional assumptions
PIM-Product Barcode,PIM,Product Barcode,"The Product Barcode feature lets you create barcodes for any kind of entity. By default, barcodes are only generated for products.",Base,Backoffice,N,1,Product Barcode,configuration objects type 3,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/product-information-management/202307.0/base-shop/feature-overviews/product-barcode-feature-overview.html,
PIM-Product Abstraction,PIM,Product Abstraction,Build a product hierarchy structure with Abstract and Concrete Products,Base,Backoffice,Y,1,Product Abstraction,configuration objects type 3,medium,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/product-information-management/202307.0/base-shop/feature-overviews/product-feature-overview/product-feature-overview.html#abstract-products-and-product-variants ,
DAM-Applications,DAM,Applications,,Custom,Frontend,N,1,Applications,commerce business modules,medium,new,1,WP 1,100%,,
PIM-Product Bundles,PIM,Product Bundles,"With the Product Bundles feature you can tie individual items together and sell them as a package. As opposed to a set, in which products are loosely grouped, the items in a bundle are always sold together.",Base,Backoffice,N,1,Product Bundles,configuration objects type 3,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/product-information-management/202307.0/base-shop/feature-overviews/product-bundles-feature-overview.html ,
PIM-Product Labels,PIM,Product Labels,The Product Label feature lets product catalog managers highlight the needed products by adding a special type of information—product labels.,Base,Backoffice,N,1,Product Labels,configuration objects type 3,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/product-information-management/202307.0/base-shop/feature-overviews/product-labels-feature-overview.html#product-label ,
PIM-Product Lists,PIM,Product Lists,The Product Lists feature lets you configure product availability for specific companies by adding their products to an excludelist or allowlist. ,B2B,Backoffice,N,1,Product Lists,configuration objects type 3,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/product-information-management/202307.0/base-shop/feature-overviews/product-lists-feature-overview.html#related-business-user-documents ,
PIM-Product Groups,PIM,Product Groups,"The Product Groups feature lets product catalog managers group products by attributes, like color or size. A typical use case is combining the same product in different colors into a product group (not to be confused with product variant).",Base,Backoffice,Y,1,Product Groups,configuration objects type 3,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/product-information-management/202307.0/base-shop/feature-overviews/product-groups-feature-overview.html ,
PIM-Product Relations,PIM,Product Relations,Define a list of items that will be displayed as comparable or additional products. ,Base,Backoffice,Y,1,Product Relations,configuration objects type 3,medium,modified,1,WP 1,100%,,
PIM-Ratings & Reviews,PIM,Ratings & Reviews,Ability for  customers to add star ratings for products and optionally add a comment through a freetext function,Base,Frontend,N,1,Ratings & Reviews,configuration objects type 3,simple,modified,1,WP 1,100%,,
PIM-Timed Product Availability,PIM,Timed Product Availability,"Timed concrete product availability, or product TTL (Time to Live) lets you define when your products are available online and when they are not. ",Base,Backoffice,N,1,Timed Product Availability,configuration objects type 3,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/product-information-management/202307.0/base-shop/feature-overviews/product-feature-overview/timed-product-availability-overview.html ,
Price -Customer Specific Prices,Price ,Customer Specific Prices,B2B solution. Offer specific prices to different customers,B2B,Backoffice,N,1,Customer Specific Prices,configuration objects type 3,simple,modified,1,WP 1,100%,,
Price -Merchant Custom Prices,Price ,Merchant Custom Prices,"In B2B commerce transactions, prices are typically negotiated in contracts. Therefore, merchants and their clients, who are usually company business units, expect to see their own prices in the shop.",Marketplace,Backoffice,N,1,Merchant Custom Prices,configuration objects type 3,simple,modified,1,WP 1,100%,,
Price -Net & Gross Price Mode,Price ,Net & Gross Price Mode,manage and define prices,Base,Backoffice,N,1,Net & Gross Price Mode,configuration objects type 3,simple,modified,1,WP 1,100%,,
Price -Scheduled Prices,Price ,Scheduled Prices,manage sales and promotion campaigns by scheduling all planned price changes,Base,Backoffice,N,1,Scheduled Prices,configuration objects type 3,simple,modified,1,WP 1,100%,,
Price -Volume Prices,Price ,Volume Prices,define individual prices for different order quantities of a product,Base,Backoffice,N,1,Volume Prices,configuration objects type 3,simple,modified,1,WP 1,100%,,
PSP-Payment Method,PSP,Payment Method,All orders can be paid with one or multiple payment methods which the customer can select during checkout.,Base,Backoffice,N,1,Payment Method,configuration objects type 3,medium,modified,1,WP 1,100%,,
PSP-Payment Service Provider Integration,PSP,Payment Service Provider Integration,Spryker offers integrations with several payment providers,Custom,Backoffice,N,1,Payment Service Provider Integration,commerce integration components,complex,modified,1,WP 1,100%,,
Report-Dashboard,Report,Dashboard,Ability to display an overview of the latest statistics and performance,Base,Backoffice,N,1,Dashboard,commerce business modules,simple,new,1,WP 1,100%,,
Report-Dashboard in Merchant Portal,Report,Dashboard in Merchant Portal,Ability to display an overview of the latest statistics and performance,Base,MerchantPortal,N,1,Dashboard in Merchant Portal,commerce business modules,simple,new,1,WP 1,100%,,
Report-Generic Marketplace Report,Report,Generic Marketplace Report,Various kinds of reports for Merchant,Custom,MerchantPortal,N,1,Generic Marketplace Report,reports type 3,medium,new,1,WP 1,100%,"Contain one chart, table with pagination, filtering by: business organization, order status, category, SKU, date range and seller. 
Can be downloaded as CSV",
PIM-Product Images,PIM,Product Images,The feature lets you group several images into sets and link them to products. One product can have several named and localized sets of images,Base,Backoffice,N,1,Product Images,configuration objects type 3,simple,modified,1,WP 1,100%,,
CRM-Third Party Delegations,CRM,Third Party Delegations,,Custom,Frontend,Y,1,Third Party Delegations,configuration objects type 3,medium,modified,1,WP 1,100%,,
RFQ-Marketplace distributor RFQ for Backoffice,RFQ,Marketplace distributor RFQ for Backoffice,Ability to see activity related to RFQ,Custom,Backoffice,N,1,Marketplace distributor RFQ for Backoffice,commerce business modules,complex,modified,1,WP 1,100%,,
PIM-Product Options,PIM,Product Options,The Product Options feature lets a Back Office user create and assign product options to abstract products. Product options are product additions that a customer can select on the product detail page before adding the product to the cart.,Base,Backoffice,Y,1,Product Options,configuration objects type 3,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/product-information-management/202307.0/base-shop/feature-overviews/product-options-feature-overview.html ,
Search-Application/Fitmnet,Search,Application/Fitmnet,Search by application. Automotive specitic.,Custom,Frontend,N,1,Application/Fitmnet,commerce business modules,medium,modified,1,WP 1,100%,,
DAM-DocumentationSearch,DAM,DocumentationSearch,,Custom,Frontend,Y,1,DocumentationSearch,commerce business modules,medium,new,1,WP 1,100%,,
Search-Find End Yoke,Search,Find End Yoke,Find End Yoke search component. Automotive specific.,Custom,Frontend,N,1,Find End Yoke,commerce business modules,medium,modified,1,WP 1,100%,,
RFQ-Quotation & Offer Management,RFQ,Quotation & Offer Management,"With the Quotation Process feature, the B2B customers can ask for special prices, and suppliers can get back to them with a compromise pricing suggestion.",B2B,Frontend,Y,1,Quotation & Offer Management,commerce business modules,medium,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/request-for-quote/202307.0/request-for-quote.html ,
Search-Search Preferences,Search,Search Preferences,"Search Preferences; include in Full Text Search/suggestions/completion, Boost",Base,Backoffice,N,1,Search Preferences,configuration objects type 3,simple,modified,1,WP 1,100%,,
Search-Search within facet filter,Search,Search within facet filter,Manage faced filters to to narrow down search results,Base,Frontend,N,1,Search within facet filter,commerce business modules,medium,modified,1,WP 1,100%,Implement search within filter component,
Search-Visual Search,Search,Visual Search,Visual Search,Custom,Frontend,N,1,Visual Search,commerce business modules,complex,modified,1,WP 1,100%,,
Search-Year make model,Search,Year make model,Year make model search component. Automotive specific.,Custom,Frontend,N,1,Year make model,commerce business modules,medium,modified,1,WP 1,100%,,
SEO-SEO for catalog,SEO,SEO for catalog,"SEO for category pages. Metatags, breadcrumbs, headers",Custom,Frontend,N,1,SEO for catalog,commerce business modules,simple,new,1,WP 1,100%,,
SEO-SEO for products,SEO,SEO for products,"SEO for products. Metatags, breadcrumbs, headers",Base,Frontend,N,1,SEO for products,configuration objects type 3,simple,modified,1,WP 1,100%,,
SEO-Sitemap,SEO,Sitemap,Dedicated documented acting as sitemap,Custom,Backoffice,N,1,Sitemap,commerce business modules,medium,new,1,WP 1,100%,,
"Setup-Setup of local environment, DevOps with Spryker Cloud",Setup,"Setup of local environment, DevOps with Spryker Cloud","Setup of local environment, DevOps with Spryker Cloud",Asset,eCommerce,N,1,"Setup of local environment, DevOps with Spryker Cloud",commerce business modules,medium,modified,1,WP 1,100%,,
"Setup-Store, region, locales creation",Setup,"Store, region, locales creation","Store, region, locales creation",Asset,eCommerce,N,1,"Store, region, locales creation",configuration objects type 3,complex,modified,1,WP 1,100%,,
Shipment-Custom availability,Shipment,Custom availability,Business logic which controls availability of delivery method in a form of plugin class,Base,Backoffice,N,1,Custom availability,commerce business modules,simple,new,1,WP 1,100%,,
Shipment-Custom delivery time calculation,Shipment,Custom delivery time calculation,Business logic which controls delivery time calculation of delivery method in a form of plugin class,Base,Backoffice,N,1,Custom delivery time calculation,commerce business modules,simple,new,1,WP 1,100%,,
Shipment-Custom price calculation,Shipment,Custom price calculation,Business logic which controls price calculation of delivery method in a form of plugin class,Base,Backoffice,N,1,Custom price calculation,commerce business modules,simple,new,1,WP 1,100%,,
Shipment-Shipment Carriers & Methods management,Shipment,Shipment Carriers & Methods management,"Manual management of shipping methods; activeness, price and tax, store relation",Base,Backoffice,N,1,Shipment Carriers & Methods management,configuration objects type 3,simple,modified,1,WP 1,100%,https://docs.spryker.com/docs/pbc/all/carrier-management/202307.0/carrier-management.html ,
Shipment-Tracking code,Shipment,Tracking code,Save tracking codes per shipment,Custom,Backoffice,N,1,Tracking code,commerce business modules,medium,new,1,WP 1,100%,,
Shopping List & Wish List-Permission Management for Shopping Lists,Shopping List & Wish List,Permission Management for Shopping Lists,"Roles and Permissions for Shopping List users. By default, there are two Roles: read-only and full access",Base,Backoffice,N,1,Permission Management for Shopping Lists,configuration objects type 1,simple,modified,1,WP 1,1,,
Shopping List & Wish List-Shopping List Management,Shopping List & Wish List,Shopping List Management,coordinate orders with the Shopping List feature,Base,Frontend,N,1,Shopping List Management,configuration objects type 1,simple,modified,1,WP 1,1,,
Shopping List & Wish List-Wish List,Shopping List & Wish List,Wish List,"customers track and save items for later purchase through multiple Wish Lists, which are connected to user accounts",Base,Frontend,N,1,Wish List,configuration objects type 3,simple,modified,1,WP 1,1,,
Tax-Avalara Integration,Tax,Avalara Integration,validate both customer and warehouse addresses to improve the rate of accuracy when calculating sales tax during the checkout process,Base,Backoffice,N,1,Avalara Integration,commerce integration components,simple,modified,1,WP 1,1,https://docs.spryker.com/docs/pbc/all/tax-management/202307.0/base-shop/third-party-integrations/avalara/avalara.html,
Tax-Manage Tax Rates & Sets,Tax,Manage Tax Rates & Sets,The Tax feature lets you define taxes for the items. The feature is represented by two entities: tax rates and tax sets.,Base,Backoffice,N,1,Manage Tax Rates & Sets,configuration objects type 3,medium,modified,1,WP 1,1,https://docs.spryker.com/docs/pbc/all/tax-management/202307.0/base-shop/tax-feature-overview.html,
Price -Vehicle price calculation,Price ,Vehicle price calculation,Calculation of price based on data coming from different systems,Custom,Backoffice,N,1,Vehicle price calculation,commerce business modules,medium,new,1,WP 1,1,,
Inventory-On-demand inventory check,Inventory,On-demand inventory check,,Custom,Frontend,N,1,On-demand inventory check,commerce business modules,simple,new,1,WP 1,1,,
Search-Faced filters,Search,Faced filters,Different filter types,Base,Frontend,Y,1,Faced filters,configuration objects type 3,medium,modified,1,WP 1,1,Configuration of filters based on store catalog,
Search-Full-site Search,Search,Full-site Search,"Search products by their atrributes, categories and CMS pages",Base,Frontend,Y,1,Full-site Search,configuration objects type 3,simple,modified,1,WP 1,1,"Search covered by ootb Spryker engine, ElasticSearch",
Shipment-Shipment,Shipment,Shipment,,Base,Frontend,N,1,Shipment,commerce business modules,medium,modified,1,WP 1,1,,
CRM-Company Login,CRM,Company Login,,Base,Frontend,N,1,Company Login,commerce business modules,medium,modified,1,WP 1,1,,
CMS-Page with form,CMS,Page with form,,Custom,Frontend,N,1,Page with form,commerce business modules,medium,new,9,WP 1,1,,
CMS-ABB Item,CMS,ABB Item,,Custom,Frontend,N,1,ABB Item,commerce business modules,medium,new,7,WP 1,1,,
DAM-Resources,DAM,Resources,,Custom,Frontend,N,1,Resources,commerce business modules,medium,new,1,WP 1,1,,
CRM-Service Agreements,CRM,Service Agreements,,Custom,Frontend,N,1,Service Agreements,commerce business modules,medium,new,1,WP 1,1,,
PIM-Literature Library,PIM,Literature Library,Literature Library,Custom,eCommerce,N,1,Literature Library,commerce integration components,medium,new,1,WP 1,1,Integration with legacy,
CMS-CMS Blocks,CMS,CMS Blocks,"A CMS block is a piece of reusable content that you can add to multiple CMS pages and templates. For example, with the help of a block, you can add banners to the top of a page or add SEO text to the bottom of a page.",Base,Backoffice,N,1,CMS Blocks,commerce presentation components,medium,new,3,WP 1,1,https://docs.spryker.com/docs/pbc/all/content-management-system/202307.0/base-shop/cms-feature-overview/cms-blocks-overview.html,
Analytics and Reporting-Google Tag Manager and GA4,Analytics and Reporting,Google Tag Manager and GA4,Embedd Tag Manager and integrate with GA4. Basic tagging in scope,Custom,Frontend,N,1,Google Tag Manager and GA4,configuration objects type 3,complex,new,1,WP 1,1,,
CRM-Company User Roles and Permissions,CRM,Company User Roles and Permissions,Management of roles and permissions per Company,B2B,Backoffice,Y,1,Company User Roles and Permissions,configuration objects type 3,medium,new,1,WP 1,1,,
PIM-Product Attributes,PIM,Product Attributes,All products can be assigned a multitude of attributes to simplify the filter and category functions,Base,Backoffice,Y,1,Product Attributes,configuration objects type 3,medium,new,1,WP 1,1,https://docs.spryker.com/docs/pbc/all/product-information-management/202307.0/base-shop/feature-overviews/product-feature-overview/product-attributes-overview.html,
CMS-About Us,CMS,About Us,,Base,Frontend,Y,1,About Us,configuration objects type 3,simple,new,1,WP 1,1,,
CMS-Footer,CMS,Footer,,Base,Frontend,Y,1,Footer,configuration objects type 3,simple,new,1,WP 1,1,,
Report-Generic Report,Report,Generic Report,Various kinds of reports,Custom,Backoffice,N,1,Generic Report,reports type 3,medium,new,1,WP 1,1,"Contain one chart, table with pagination, filtering by: business organization, order status, category, SKU, date range and seller. 
Can be downloaded as CSV",
